brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,status,borough,bed_bath_ratio,price
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.621405651764134,New York,40.579147,-73.9709488,Pending,Brooklyn,0.6931471805599453,12.762830066509972
other,House for sale,1.6094379124341003,1.0986122886681098,7.450660796211539,United States,40.6275081,-74.018889,Pending,Brooklyn,1.0986122886681098,13.900771320188321
other,Co-op for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.6680173,-73.8253534,Pending,Queens,0.9162907318741551,13.457406021215947
other,House for sale,1.6094379124341003,1.6094379124341003,8.383661798791715,United States,40.7295332,-73.957726,Pending,Brooklyn,0.6931471805599453,15.163583966004193
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.68586094706836,New York,40.5911414,-73.9676771,Pending,Brooklyn,0.6931471805599453,12.685410698175234
other,Multi-family home for sale,1.3862943611198906,1.0986122886681098,9.741027444837728,United States,40.640823,-74.0800239,Pending,Staten Island,0.9162907318741551,14.978661680269907
other,House for sale,1.791759469228055,1.3862943611198906,7.6894662343551055,United States,40.7262631,-73.7937601,Pending,Queens,0.9808292530117262,14.271669414101318
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.7041499,-73.83371,Pending,Queens,1.0986122886681098,12.464587201678082
Brokered by COMPASS,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.6668092,-73.8471901,Pending,Queens,0.6931471805599453,12.154731981599651
other,Multi-family home for sale,2.302585092994046,2.1972245773362196,7.993619994827744,United States,40.5784148,-74.0064631,Pending,Brooklyn,0.7537718023763802,14.21964211061582
other,Condo for sale,0.6931471805599453,0.6931471805599453,6.424869023905388,New York,40.7301358,-73.871999,Pending,Queens,0.6931471805599453,12.896719202134523
other,House for sale,1.6094379124341003,1.6094379124341003,8.055475141757274,United States,40.5365056,-74.1988326,Pending,Staten Island,0.6931471805599453,14.285514812209815
other,Co-op for sale,1.0986122886681098,0.6931471805599453,6.398594934535208,New York,40.833945,-73.9432359,Pending,Manhattan,1.0986122886681098,12.128116509451258
other,House for sale,1.3862943611198906,1.6094379124341003,7.650168700845001,United States,40.551314,-74.1670026,Pending,Staten Island,0.5596157879354227,13.68767832281738
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.00397413672268,New York,40.6599761,-73.9622977,Pending,Brooklyn,1.0986122886681098,13.457407451830088
other,House for sale,2.1972245773362196,1.3862943611198906,7.6894662343551055,United States,40.8523239,-73.900732,Pending,Bronx,1.2992829841302609,13.81541155306345
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.8248699,-73.9229829,Pending,Bronx,1.0986122886681098,12.611541086966115
other,Multi-family home for sale,2.302585092994046,1.9459101490553132,8.650499558724462,New York,40.6488068,-73.9293919,Pending,Brooklyn,0.9162907318741551,13.681980308196241
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.7722757,-73.979081,Pending,Manhattan,0.6931471805599453,14.07402202531625
other,House for sale,1.3862943611198906,1.0986122886681098,7.050122520269059,United States,40.6144686,-74.1592392,Pending,Staten Island,0.9162907318741551,13.215855541983634
other,Co-op for sale,1.6094379124341003,1.0986122886681098,7.6894662343551055,New York,40.7129113,-73.9781415,Pending,Manhattan,1.0986122886681098,14.506155109559108
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.776554,-73.9876401,Pending,Manhattan,0.6931471805599453,13.451668563394815
other,Townhouse for sale,2.1972245773362196,1.6094379124341003,8.268988209506656,United States,40.6616741,-73.985673,Pending,Brooklyn,1.0986122886681098,14.751604309291395
Brokered by COMPASS,Townhouse for sale,1.9459101490553132,1.0986122886681098,9.024131268455035,United States,40.7326368,-73.998918,Pending,Manhattan,1.3862943611198906,16.810992850275557
other,House for sale,2.1972245773362196,1.3862943611198906,7.6894662343551055,United States,40.658346,-73.9583816,Pending,Brooklyn,1.2992829841302609,14.31568020796969
Brokered by Corcoran Park Slope,Multi-family home for sale,1.791759469228055,1.9459101490553132,7.6894662343551055,United States,40.6912637,-73.9696573,Pending,Brooklyn,0.6061358035703155,15.38412668421143
Brokered by COMPASS,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,United States,40.7308084,-73.7400835,Pending,Queens,1.0986122886681098,12.53897064502647
Brokered by E Realty International Corp,Multi-family home for sale,1.791759469228055,1.3862943611198906,6.934397209928558,United States,40.6240315,-73.9954118,Pending,Brooklyn,0.9808292530117262,13.94478377240265
other,House for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.6808451,-73.7952952,Pending,Queens,0.9162907318741551,13.438634364432907
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.7546656,-73.9675207,Pending,Manhattan,0.6931471805599453,13.428377879293798
Brokered by COMPASS,Co-op for sale,1.3862943611198906,1.3862943611198906,7.694392802629421,New York,40.7904197,-73.966175,Pending,Manhattan,0.6931471805599453,14.603968372873895
other,House for sale,1.3862943611198906,1.0986122886681098,7.313886831633462,United States,40.6785308,-73.8130811,Pending,Queens,0.9162907318741551,13.457407451830088
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,1.6094379124341003,1.6094379124341003,8.254528881939745,United States,40.7377131,-74.0087585,Pending,Manhattan,0.6931471805599453,16.380459992348886
other,House for sale,1.3862943611198906,1.0986122886681098,7.108244139731541,United States,40.653784,-73.8286059,Pending,Queens,0.9162907318741551,13.217675375388819
other,House for sale,1.3862943611198906,1.6094379124341003,7.422373700986824,United States,40.6069525,-74.1016936,Pending,Staten Island,0.5596157879354227,14.069291164947266
Brokered by Winzone Realty Inc,House for sale,1.6094379124341003,1.3862943611198906,7.6894662343551055,United States,40.7848355,-73.8276854,Pending,Queens,0.8472978603872036,14.070153551531353
Brokered by COMPASS,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.6419847,-73.9614428,Pending,Brooklyn,0.6931471805599453,13.197472705176983
Brokered by Corcoran East Side,Condo for sale,1.0986122886681098,1.0986122886681098,7.3783837129967145,New York,40.7603031,-73.9610497,Pending,Manhattan,0.6931471805599453,14.55506458866523
Brokered by E Realty International Corp,Multi-family home for sale,2.302585092994046,1.0986122886681098,7.762596048540069,United States,40.7832094,-73.7967588,Pending,Queens,1.7047480922384253,14.873301199334291
other,House for sale,1.3862943611198906,1.0986122886681098,6.9930151229329605,United States,40.5787747,-73.9401956,Pending,Brooklyn,0.9162907318741551,13.989464705423494
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.7505078,-73.8851355,Pending,Queens,0.6931471805599453,12.593037677653752
other,Multi-family home for sale,1.3862943611198906,1.0986122886681098,7.693937325509272,United States,40.8467388,-73.8189548,Pending,Bronx,0.9162907318741551,13.652992804936396
other,Condo for sale,0.6931471805599453,0.6931471805599453,6.8658910748834385,New York,40.7494499,-73.8778676,Pending,Queens,0.6931471805599453,13.303018546545275
other,Condo for sale,1.3862943611198906,1.3862943611198906,7.471363088187097,New York,40.7961886,-73.949116,Pending,Manhattan,0.6931471805599453,15.123843647884687
other,Condo for sale,1.3862943611198906,1.0986122886681098,7.4645098346365275,New York,40.7735704,-73.9461541,Pending,Manhattan,0.9162907318741551,14.711190744264153
other,House for sale,1.3862943611198906,1.0986122886681098,7.110696122978827,United States,40.63818,-73.9071525,Pending,Brooklyn,0.9162907318741551,13.296150284129366
Brokered by Keller Williams NYC,Multi-family home for sale,1.791759469228055,1.3862943611198906,7.313886831633462,United States,40.7849809,-73.8178033,Pending,Queens,0.9808292530117262,14.06860196204365
other,Multi-family home for sale,1.791759469228055,1.0986122886681098,7.735870319952567,United States,40.5501403,-74.1810379,Pending,Staten Island,1.252762968495368,13.81049902116535
Brokered by COMPASS,Co-op for sale,0.6931471805599453,0.6931471805599453,6.68586094706836,New York,40.6573594,-73.9554071,Pending,Brooklyn,0.6931471805599453,13.120363378739663
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,0.6931471805599453,0.6931471805599453,7.017506142941256,New York,40.7193296,-73.8380044,Pending,Queens,0.6931471805599453,13.017005083966255
other,Condo for sale,1.0986122886681098,1.0986122886681098,6.950814768442584,New York,40.849705,-73.94014,Pending,Manhattan,0.6931471805599453,14.144095341678627
Brokered by RE MAX Real Estate Professionals,Condo for sale,1.0986122886681098,1.0986122886681098,6.71174039505618,New York,40.6145816,-73.9463149,Pending,Brooklyn,0.6931471805599453,13.197472705176983
Brokered by COMPASS,Condo for sale,0.6931471805599453,1.0986122886681098,7.186901020411631,New York,40.7159753,-74.0083683,Pending,Manhattan,0.4054651081081644,14.508658238524095
other,Condo for sale,1.0986122886681098,0.6931471805599453,6.46302945692067,New York,40.6478661,-74.0006098,Pending,Brooklyn,1.0986122886681098,13.429849547739444
Brokered by Keller Williams Rlty Landmark,Co-op for sale,0.6931471805599453,0.6931471805599453,6.621405651764134,New York,40.788818,-73.7867657,Pending,Queens,0.6931471805599453,13.120138905099342
Brokered by Serhant,Co-op for sale,1.791759469228055,1.6094379124341003,8.612685172875459,New York,40.7442721,-73.9907621,Pending,Manhattan,0.8109302162163288,16.012179536539637
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.6999899,-73.8539,Pending,Queens,1.0986122886681098,12.296831574998258
Brokered by Corcoran Park Avenue South,Condo for sale,1.0986122886681098,0.6931471805599453,6.985641817639208,New York,40.6163434,-74.0377889,Pending,Brooklyn,1.0986122886681098,13.99699926803766
other,House for sale,2.1972245773362196,1.6094379124341003,7.6894662343551055,United States,40.8984527,-73.9105843,Pending,Bronx,1.0986122886681098,14.99416586199818
Brokered by COMPASS,Condo for sale,1.0986122886681098,1.0986122886681098,7.268920128193722,New York,40.810446,-73.943187,Pending,Manhattan,0.6931471805599453,14.038654909278163
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.7298599,-73.81851,Pending,Queens,0.6931471805599453,12.577639650232573
Brokered by Keller Williams NYC,Co-op for sale,1.3862943611198906,0.6931471805599453,6.928537818164665,New York,40.7517899,-73.88467,Pending,Queens,1.3862943611198906,13.217673557208654
other,Co-op for sale,1.3862943611198906,1.0986122886681098,7.065613363597717,United States,40.6222601,-74.1349837,Pending,Staten Island,0.9162907318741551,13.552847548877052
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.8255972,-73.9529963,Pending,Manhattan,1.0986122886681098,12.644330802262578
Brokered by Exp Realty,Multi-family home for sale,1.9459101490553132,1.6094379124341003,8.026170194946426,United States,40.6877385,-73.9618932,Pending,Brooklyn,0.9162907318741551,14.99416586199818
other,Co-op for sale,1.3862943611198906,1.3862943611198906,7.467942332285852,New York,40.7971343,-73.9722076,Pending,Manhattan,0.6931471805599453,14.148405690083225
other,Multi-family home for sale,1.9459101490553132,1.3862943611198906,7.5352967024440884,United States,40.7086372,-73.9026067,Pending,Queens,1.0986122886681098,13.813509557297108
other,Co-op for sale,1.0986122886681098,1.0986122886681098,7.048386408721883,United States,40.8131429,-73.808397,Pending,Bronx,0.6931471805599453,12.899222326086994
other,Multi-family home for sale,1.791759469228055,1.0986122886681098,7.3783837129967145,United States,40.8166622,-73.8139448,Pending,Bronx,1.252762968495368,13.560619598657233
Brokered by Corcoran Brooklyn Heights,House for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.626225,-74.0745645,Pending,Staten Island,0.9162907318741551,15.717618233614914
other,Co-op for sale,1.3862943611198906,0.6931471805599453,7.6894662343551055,New York,40.7525699,-73.87724,Pending,Queens,1.3862943611198906,12.149507585033072
Brokered by Keller Williams NYC,Multi-family home for sale,1.9459101490553132,1.6094379124341003,7.850103545175582,United States,40.6778716,-73.9615757,Pending,Brooklyn,0.9162907318741551,14.45736497045232
other,Co-op for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,New York,40.7093215,-74.003525,Pending,Manhattan,0.9162907318741551,13.90626583447433
Brokered by Keller Williams NYC,Condo for sale,0.6931471805599453,0.6931471805599453,6.6052979209482015,New York,40.5781826,-74.1626869,Pending,Staten Island,0.6931471805599453,12.765691290604371
Brokered by COMPASS,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.8510315,-73.9416561,Pending,Manhattan,0.6931471805599453,12.765691290604371
other,House for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.681047,-73.754428,Pending,Queens,0.9162907318741551,13.017005083966255
other,Co-op for sale,1.3862943611198906,0.6931471805599453,5.5254529391317835,New York,40.7488879,-73.9723947,Pending,Manhattan,1.3862943611198906,12.733758336210744
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.798761,-73.9721556,Pending,Manhattan,1.0986122886681098,13.384729180332174
other,House for sale,1.3862943611198906,1.0986122886681098,7.601402334583733,United States,40.6995553,-73.7527095,Pending,Queens,0.9162907318741551,13.38318953651709
other,Multi-family home for sale,1.3862943611198906,1.6094379124341003,7.6093665379542115,United States,40.6351047,-74.0818972,Pending,Staten Island,0.5596157879354227,13.815399551803319
other,House for sale,1.3862943611198906,1.0986122886681098,7.6255950721324535,United States,40.6520971,-73.9451094,Pending,Brooklyn,0.9162907318741551,14.038654909278163
other,Co-op for sale,1.6094379124341003,1.3862943611198906,7.9658927350845286,United States,40.7897224,-73.8045254,Pending,Queens,0.8472978603872036,14.339055546554926
Brokered by COMPASS,Condo for sale,1.0986122886681098,1.0986122886681098,6.957497370876951,New York,40.7629277,-73.9813818,Pending,Manhattan,0.6931471805599453,14.018452218287162
other,Condo for sale,1.0986122886681098,1.0986122886681098,6.933423025730715,United States,40.7669131,-73.9342893,Pending,Queens,0.6931471805599453,13.76421831620775
other,Multi-family home for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.7554032,-73.7924388,Pending,Queens,0.9162907318741551,14.070153551531353
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,1.791759469228055,1.9459101490553132,9.074062353683555,United States,40.7669348,-73.9701575,Pending,Manhattan,0.6061358035703155,16.929025911619092
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1.791759469228055,1.0986122886681098,7.467942332285852,United States,40.5956263,-73.933927,Pending,Brooklyn,1.252762968495368,13.592243248992402
other,Multi-family home for sale,2.1972245773362196,1.791759469228055,7.6894662343551055,United States,40.8167119,-73.8127515,Pending,Bronx,0.9555114450274363,13.8924725250259
other,House for sale,1.6094379124341003,1.0986122886681098,7.365812837209472,United States,40.6198659,-74.0087151,Pending,Brooklyn,1.0986122886681098,13.987782620655215
Brokered by COMPASS,Condo for sale,1.6094379124341003,1.6094379124341003,8.517393171418904,New York,40.7229769,-74.0093524,Pending,Manhattan,0.6931471805599453,17.147715103853763
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1.3862943611198906,1.0986122886681098,7.438971592395862,New York,40.7640501,-73.964336,Pending,Manhattan,0.9162907318741551,13.73755009757506
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1.3862943611198906,0.6931471805599453,7.6894662343551055,New York,40.7382981,-74.0058899,Pending,Manhattan,1.3862943611198906,13.704580114574805
Brokered by Corcoran Park Avenue South,Condo for sale,1.3862943611198906,1.0986122886681098,7.443663683115591,New York,40.7629604,-73.9705452,Pending,Manhattan,0.9162907318741551,14.60169306007217
other,House for sale,1.0986122886681098,1.0986122886681098,7.0431599159883405,United States,40.6314389,-74.0378384,Pending,Brooklyn,0.6931471805599453,13.976779556623864
