brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
other,Multi-family home for sale,2,2,1520.0,United States,40.6233188,-74.1259917,889000,Pending,Staten Island,1.0
Brokered by EXP Realty,Condo for sale,2,2,847.0,New York,40.7367106,-73.8722089,680000,Pending,Queens,1.0
other,Co-op for sale,1,1,600.0,New York,40.6387293,-73.9490472,179000,Pending,Brooklyn,1.0
other,Co-op for sale,2,1,2184.207862,New York,40.7317199,-73.90176,389000,Pending,Queens,2.0
other,Townhouse for sale,10,10,2184.207862,United States,40.7852855,-73.9560385,9950000,Pending,Manhattan,1.0
other,Co-op for sale,3,3,1860.0,United States,40.5763544,-74.1099794,795000,Contingent,Staten Island,1.0
other,Condo for sale,3,2,2184.207862,New York,40.6310935,-73.9723541,550000,Pending,Brooklyn,1.5
other,Condo for sale,2,2,986.0,United States,40.7478785,-73.9444755,2375000,Pending,Queens,1.0
Brokered by Sowae Corp,House for sale,6,3,2940.0,United States,40.6609696,-73.9111929,580000,Pending,Brooklyn,2.0
other,Condo for sale,1,1,684.0,New York,40.746232,-73.978689,799000,Pending,Manhattan,1.0
other,Co-op for sale,5,2,2184.207862,United States,40.6033161,-74.1679729,825000,Pending,Staten Island,2.5
other,House for sale,4,2,1063.0,United States,40.5355078,-74.1566675,749999,Pending,Staten Island,2.0
other,Co-op for sale,1,1,550.0,New York,40.6339001,-74.0299973,245000,Pending,Brooklyn,1.0
other,Co-op for sale,3,2,2184.207862,United States,40.5403437,-74.2041065,555000,Pending,Staten Island,1.5
other,Co-op for sale,7,2,2184.207862,United States,40.696809,-73.842496,1188000,Pending,Queens,3.5
other,Co-op for sale,1,1,750.0,New York,40.7840294,-73.9767127,750000,Pending,Manhattan,1.0
other,Multi-family home for sale,6,5,2184.207862,United States,40.8610016,-73.9014141,890000,Pending,Bronx,1.2
Brokered by Winzone Realty Inc,Condo for sale,4,2,2184.207862,New York,40.7932921,-73.7951779,1175000,Pending,Queens,2.0
Brokered by COMPASS,Co-op for sale,3,2,6000.0,New York,40.7227148,-73.9993678,7500000,Pending,Manhattan,1.5
other,Co-op for sale,2,2,1450.0,Bronx County,40.8868607,-73.9129726,429000,Pending,Bronx,1.0
other,Condo for sale,1,1,971.0,New York,40.6725244,-73.9631215,995000,Pending,Brooklyn,1.0
other,Co-op for sale,2,1,800.0,New York,40.8833792,-73.907461,219999,Pending,Bronx,2.0
other,Co-op for sale,1,1,2184.207862,New York,40.7488599,-73.8926999,259000,Pending,Queens,1.0
other,Co-op for sale,3,1,2184.207862,New York,40.7104509,-73.7982064,129000,Pending,Queens,3.0
other,House for sale,2,2,2250.0,United States,40.8926424,-73.8409541,710000,Pending,Bronx,1.0
Brokered by E Realty International Corp,Condo for sale,1,1,490.0,New York,40.7576255,-73.8231097,569000,Pending,Queens,1.0
other,House for sale,6,2,3676.0,United States,40.6386251,-73.9591955,1848000,Pending,Brooklyn,3.0
other,Co-op for sale,3,2,3280.0,United States,40.688515,-73.916949,1200000,Pending,Brooklyn,1.5
other,Condo for sale,1,1,602.0,New York,40.6275896,-74.0016198,528000,Pending,Brooklyn,1.0
Brokered by EXP Realty,House for sale,4,2,1624.0,United States,40.7320016,-73.8037556,1030000,Pending,Queens,2.0
other,Multi-family home for sale,12,6,2184.207862,New York,40.7142948,-73.9448148,1999999,Pending,Brooklyn,2.0
Brokered by Serhant,Co-op for sale,2,1,2184.207862,New York,40.654461,-73.9744629,795000,Pending,Brooklyn,2.0
Brokered by COMPASS,Co-op for sale,2,1,900.0,New York,40.6273371,-74.0262024,499000,Pending,Brooklyn,2.0
other,House for sale,2,1,1440.0,United States,40.7731565,-73.8027586,728000,Pending,Queens,2.0
other,Co-op for sale,2,1,2184.207862,New York,40.7822297,-73.9466255,629000,Pending,Manhattan,2.0
other,House for sale,3,2,1344.0,United States,40.7309404,-73.8683812,968000,Pending,Queens,1.5
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1,1,679.0,New York County,40.7945743,-73.9434214,559000,Pending,Manhattan,1.0
Brokered by COMPASS,Condo for sale,2,2,1572.0,New York,40.7422513,-74.0010561,2350000,Pending,Manhattan,1.0
other,Multi-family home for sale,5,2,1400.0,United States,40.6754664,-73.8780744,749900,Pending,Brooklyn,2.5
other,House for sale,2,2,1473.0,United States,40.6241803,-73.9375665,739000,Pending,Brooklyn,1.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,2,2,1250.0,United States,40.7578531,-73.9923304,2500000,Pending,Manhattan,1.0
other,Co-op for sale,3,2,1480.0,United States,40.5894827,-73.9395372,669000,Pending,Brooklyn,1.5
Brokered by COMPASS,Condo for sale,2,2,968.0,New York,40.6039146,-73.9980848,785000,Pending,Brooklyn,1.0
other,Co-op for sale,2,1,2184.207862,New York,40.7955171,-73.9745834,595000,Pending,Manhattan,2.0
Brokered by Winzone Realty Inc,House for sale,4,2,2184.207862,United States,40.7593442,-73.7673557,998000,Pending,Queens,2.0
other,Condo for sale,3,2,1185.0,New York,40.807969,-73.854213,525000,Pending,Bronx,1.5
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,United States,40.7751786,-73.9550168,359000,Pending,Manhattan,1.0
Brokered by Winzone Realty Inc,Co-op for sale,1,1,900.0,New York,40.7606023,-73.8222658,345000,Pending,Queens,1.0
Brokered by Corcoran Brooklyn Heights,Co-op for sale,2,1,2184.207862,New York,40.6733835,-73.9300041,440000,Pending,Brooklyn,2.0
other,Condo for sale,2,1,860.0,New York,40.6192765,-74.09515,235000,Pending,Staten Island,2.0
other,Co-op for sale,3,1,950.0,New York,40.763716,-73.816271,416000,Pending,Queens,3.0
Brokered by E Realty International Corp,Condo for sale,1,2,869.0,United States,40.7317078,-73.856834,585000,Pending,Queens,0.5
other,House for sale,6,4,2184.207862,United States,40.6021451,-73.7401761,3100000,Pending,Queens,1.5
Brokered by Serhant,Townhouse for sale,11,11,11110.0,United States,40.7221603,-74.0078633,19995000,Pending,Manhattan,1.0
other,House for sale,4,3,2184.207862,United States,40.7154424,-73.8098159,820000,Pending,Queens,1.3333333333333333
other,Multi-family home for sale,15,6,4920.0,United States,40.6411388,-73.9478417,1300000,Pending,Brooklyn,2.5
other,Co-op for sale,1,1,660.0,United States,40.574451,-74.0929448,90000,Pending,Staten Island,1.0
other,House for sale,4,2,2184.207862,United States,40.6736664,-73.7504403,709999,Pending,Queens,2.0
other,Multi-family home for sale,3,2,2184.207862,United States,40.634316,-73.9462919,1500000,Pending,Brooklyn,1.5
other,Multi-family home for sale,4,3,2184.207862,United States,40.7236308,-73.8094885,904000,Pending,Queens,1.3333333333333333
other,Multi-family home for sale,8,4,2184.207862,United States,40.6531909,-73.9453969,899999,Pending,Brooklyn,2.0
other,Co-op for sale,2,1,2184.207862,New York,40.743059,-73.880983,438000,Pending,Queens,2.0
other,Condo for sale,1,2,2184.207862,United States,40.6586064,-73.9488175,500000,Pending,Brooklyn,0.5
other,Co-op for sale,1,2,1341.0,New York,40.7577991,-73.7159564,399000,Pending,Queens,0.5
Brokered by Winzone Realty Inc,Condo for sale,3,2,2184.207862,New York,40.7540544,-73.8212979,800000,Pending,Queens,1.5
other,Condo for sale,2,1,862.0,New York,40.8385018,-73.86211,309000,Pending,Bronx,2.0
Brokered by COMPASS,Co-op for sale,3,1,2184.207862,New York,40.764038,-73.993548,375000,Pending,Manhattan,3.0
other,Co-op for sale,2,2,900.0,New York,40.8535911,-73.9359601,600000,Pending,Manhattan,1.0
other,Land for sale,3,2,2184.207862,United States,40.6685186,-73.9175924,6100000,Pending,Brooklyn,1.5
other,Condo for sale,2,1,932.0,New York,40.6822675,-73.9178308,599999,Pending,Brooklyn,2.0
Brokered by COMPASS,House for sale,4,2,2180.0,United States,40.6395577,-74.0807615,569900,Pending,Staten Island,2.0
Brokered by Brown Harris Stevens,Co-op for sale,1,1,2184.207862,New York,40.8050658,-73.9524985,300000,Pending,Manhattan,1.0
other,Co-op for sale,4,2,2280.0,United States,40.5873346,-74.1553517,869900,Contingent,Staten Island,2.0
other,Townhouse for sale,10,8,2184.207862,United States,40.7553475,-73.9673212,3695000,Pending,Manhattan,1.25
other,House for sale,4,2,3160.0,United States,40.585661,-74.1059417,1250000,Pending,Staten Island,2.0
other,Co-op for sale,3,1,2184.207862,New York,40.7324206,-73.8555724,175000,Pending,Queens,3.0
other,House for sale,3,1,950.0,United States,40.5786958,-73.938485,948888,Pending,Brooklyn,3.0
other,Co-op for sale,4,3,2400.0,New York,40.881939,-73.9204858,1049000,Pending,Bronx,1.3333333333333333
Brokered by E Realty International Corp,Multi-family home for sale,7,5,2460.0,United States,40.688312,-73.856322,1280000,Pending,Queens,1.4
Brokered by COMPASS,Townhouse for sale,5,4,3200.0,United States,40.6328573,-73.9632363,2099000,Pending,Brooklyn,1.25
other,Co-op for sale,3,3,2184.207862,New York,40.7573949,-73.9606545,3950000,Pending,Manhattan,1.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,1,1,2184.207862,New York,40.5770108,-73.8403983,375000,Pending,Queens,1.0
other,Multi-family home for sale,5,3,1440.0,United States,40.7604667,-73.8755356,899999,Pending,Queens,1.6666666666666667
other,House for sale,2,2,1350.0,United States,40.8978428,-73.8633611,499000,Pending,Bronx,1.0
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,7,6,8500.0,United States,40.7577238,-73.9597924,24990000,Pending,Manhattan,1.1666666666666667
other,House for sale,3,3,2184.207862,United States,40.7052223,-73.7583006,729000,Pending,Queens,1.0
other,Co-op for sale,2,2,1150.0,New York,40.5794182,-73.9709078,475000,Pending,Brooklyn,1.0
other,House for sale,3,2,1538.0,United States,40.6059609,-74.1644799,699000,Pending,Manhattan,1.5
other,House for sale,5,4,4480.0,United States,40.788437,-73.9731887,4200000,Pending,Manhattan,1.25
other,Land for sale,3,2,2184.207862,New York,40.6074231,-73.9078973,1499000,Pending,Brooklyn,1.5
other,Co-op for sale,4,2,2184.207862,United States,40.7714061,-73.732929,765000,Pending,Queens,2.0
Brokered by Winzone Realty Inc,House for sale,4,3,1760.0,United States,40.7293576,-73.7830175,1350000,Pending,Queens,1.3333333333333333
Brokered by RE MAX Real Estate Professionals,House for sale,5,2,1716.0,United States,40.5721728,-74.0972787,549000,Pending,Staten Island,2.5
other,Condo for sale,2,2,1541.0,New York,40.8879309,-73.9121663,1181000,Pending,Bronx,1.0
other,Co-op for sale,2,2,2184.207862,New York,40.7337965,-73.8620837,569000,Pending,Queens,1.0
other,Co-op for sale,2,1,1100.0,New York,40.5813269,-73.9541649,519000,Pending,Brooklyn,2.0
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,5,4,4230.0,United States,40.7328257,-74.0048853,16995000,Pending,Manhattan,1.25
Brokered by EXP Realty,Co-op for sale,3,1,719.0,United States,40.7379227,-73.8470718,178000,Pending,Queens,3.0
other,House for sale,7,6,10000.0,United States,40.5184841,-74.2244185,2147483647,Pending,Manhattan,1.1666666666666667
Brokered by Sowae Corp,House for sale,3,2,1509.0,United States,40.6982271,-73.7605874,215000,Pending,Queens,1.5
Brokered by RE MAX Edge,Condo for sale,2,1,939.0,New York,40.5599528,-74.1198255,455000,Pending,Staten Island,2.0
Brokered by Corcoran Brooklyn Heights,Townhouse for sale,1,2,846.0,New York,40.6749628,-73.9401841,595000,Pending,Brooklyn,0.5
other,House for sale,3,2,2184.207862,United States,40.7639092,-73.7205952,1120000,Pending,Queens,1.5
other,Multi-family home for sale,4,2,2184.207862,United States,40.656902,-73.7523889,775000,Pending,Queens,2.0
other,Co-op for sale,1,1,2184.207862,United States,40.6291705,-73.9575654,230000,Pending,Brooklyn,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.7845412,-73.981249,775000,Pending,Manhattan,1.0
other,House for sale,4,2,1744.0,United States,40.631398,-73.9361773,790000,Pending,Brooklyn,2.0
other,House for sale,2,2,2184.207862,United States,40.727192,-73.883684,705000,Pending,Queens,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.7334099,-73.85851,275000,Pending,Queens,1.0
other,House for sale,3,4,2184.207862,United States,40.6693668,-73.7996259,1700000,Pending,Queens,0.75
other,Co-op for sale,4,4,2780.0,United States,40.5124611,-74.2488941,838000,Pending,Staten Island,1.0
Brokered by Winzone Realty Inc,House for sale,5,6,7723.0,United States,40.7924222,-73.8260759,3900000,Pending,Queens,0.8333333333333334
other,Co-op for sale,3,2,2184.207862,New York,40.7982086,-73.9680164,999000,Pending,Manhattan,1.5
other,Co-op for sale,1,1,2184.207862,New York,40.7667403,-73.9855052,500000,Pending,Manhattan,1.0
other,Co-op for sale,1,1,700.0,New York,40.9073699,-73.9065578,350000,Pending,Bronx,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.7845412,-73.981249,775000,Pending,Manhattan,1.0
Brokered by Exp Realty,Co-op for sale,2,1,750.0,New York,40.6152328,-73.9176941,249999,Pending,Brooklyn,2.0
other,House for sale,6,4,2112.0,United States,40.7645123,-73.7595302,1300000,Pending,Queens,1.5
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1,2,822.0,New York,40.7152964,-74.0160671,1350000,Pending,Manhattan,0.5
other,Multi-family home for sale,6,5,3096.0,United States,40.8471618,-73.8650964,915000,Pending,Bronx,1.2
other,Co-op for sale,2,2,2184.207862,New York,40.781483,-73.952964,950000,Pending,Manhattan,1.0
Brokered by Serhant,Condo for sale,3,4,2950.0,New York,40.724558,-74.004173,9995000,Pending,Manhattan,0.75
Brokered by E Realty International Corp,Condo for sale,1,1,554.0,New York,40.7259759,-73.8599803,478900,Pending,Queens,1.0
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2,1,1000.0,New York,40.776554,-73.9876401,995000,Pending,Manhattan,2.0
other,House for sale,3,4,2100.0,United States,40.551314,-74.1670026,880000,Pending,Staten Island,0.75
Brokered by RE MAX Real Estate Professionals,Co-op for sale,1,1,880.0,New York,40.6329634,-73.9709274,275000,Pending,Brooklyn,1.0
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1,2,807.0,New York,40.7055917,-74.0172159,999999,Pending,Manhattan,0.5
other,Co-op for sale,1,1,2184.207862,New York,40.7581299,-73.8569399,149000,Pending,Queens,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.8809305,-73.9107494,279000,Pending,Manhattan,1.0
other,House for sale,24,8,9500.0,United States,40.6717953,-73.9407352,3500000,Pending,Brooklyn,3.0
other,House for sale,2,2,862.0,United States,40.6175251,-73.9255226,639000,Pending,Brooklyn,1.0
other,Co-op for sale,1,1,780.0,New York,40.5756277,-73.9667833,311000,Pending,Brooklyn,1.0
other,Multi-family home for sale,14,6,5103.0,United States,40.8403844,-73.8478179,1300000,Pending,Bronx,2.3333333333333335
other,Co-op for sale,2,2,1300.0,New York,40.7808597,-73.7834998,299999,Pending,Queens,1.0
other,Co-op for sale,3,2,2184.207862,United States,40.7671317,-73.9087817,875000,Pending,Queens,1.5
other,House for sale,3,1,2184.207862,United States,40.6414423,-73.9325148,799000,Pending,Brooklyn,3.0
other,Townhouse for sale,4,4,4600.0,United States,40.6800067,-73.9982111,5295000,Pending,Brooklyn,1.0
Brokered by Exp Realty,Multi-family home for sale,6,2,1634.0,United States,40.8403637,-73.870081,600000,Pending,Bronx,3.0
other,House for sale,3,4,4450.0,United States,40.854862,-73.7906694,1299000,Pending,Bronx,0.75
other,Multi-family home for sale,6,5,3816.0,United States,40.6241719,-74.0746007,1099000,Pending,Staten Island,1.2
other,Multi-family home for sale,5,2,2184.207862,United States,40.6958927,-73.9084857,1800000,Pending,Brooklyn,2.5
other,Co-op for sale,3,3,1392.0,United States,40.5556599,-74.1550879,599000,Pending,Staten Island,1.0
Brokered by E Realty International Corp,Condo for sale,2,2,721.0,New York,40.7301358,-73.871999,550000,Pending,Queens,1.0
other,Multi-family home for sale,32,12,7200.0,United States,40.791206,-73.946512,4000000,Pending,Manhattan,2.6666666666666665
Brokered by Winzone Realty Inc,Co-op for sale,1,1,900.0,New York,40.7607942,-73.8258766,438000,Pending,Queens,1.0
other,Co-op for sale,2,1,675.0,New York,40.7444053,-73.7237661,310000,Pending,Queens,2.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.7507495,-73.8811907,315000,Pending,Queens,1.0
other,Condo for sale,3,3,1862.0,New York,40.7241961,-74.0091487,3595000,Pending,Manhattan,1.0
other,Co-op for sale,6,2,3384.0,New York,40.6499031,-73.7354706,950000,Pending,Queens,3.0
other,House for sale,2,2,1518.0,United States,40.5839283,-74.1113788,1193000,Pending,Staten Island,1.0
Brokered by Exp Realty,Multi-family home for sale,6,4,2808.0,United States,40.8928243,-73.8348075,1200000,Pending,Bronx,1.5
other,House for sale,4,2,2340.0,United States,40.7690548,-73.7444989,1280000,Pending,Queens,2.0
Brokered by EXP Realty,Co-op for sale,2,1,2184.207862,United States,40.7483992,-73.8795703,465000,Pending,Queens,2.0
other,Co-op for sale,1,1,780.0,Kings County,40.6230753,-74.0403471,599000,Pending,Brooklyn,1.0
other,House for sale,4,4,3645.0,United States,40.7968959,-73.822999,1750000,Pending,Queens,1.0
other,Condo for sale,3,2,1200.0,New York,40.7881763,-73.7877051,759000,Pending,Queens,1.5
other,House for sale,3,2,2340.0,United States,40.5887913,-74.1444799,799000,Pending,Staten Island,1.5
Brokered by RE MAX Edge,Multi-family home for sale,4,5,3100.0,United States,40.744266,-73.862867,1180000,Pending,Queens,0.8
other,Co-op for sale,2,1,800.0,New York,40.9117719,-73.9024392,230000,Pending,Bronx,2.0
other,Multi-family home for sale,3,2,2034.0,United States,40.8665092,-73.8574012,699000,Pending,Bronx,1.5
other,Condo for sale,3,3,1800.0,New York,40.5770098,-73.958346,1999999,Pending,Brooklyn,1.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,3,2,1625.0,United States,40.5783596,-73.8365039,1400000,Pending,Queens,1.5
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,6,2,3312.0,United States,40.7459265,-73.868944,1250000,Pending,Queens,3.0
other,House for sale,5,3,5600.0,United States,40.5813757,-74.1131912,1599000,Pending,Staten Island,1.6666666666666667
other,Townhouse for sale,4,2,2266.0,United States,40.6430292,-73.9248566,700000,Pending,Brooklyn,2.0
other,Land for sale,3,2,2184.207862,United States,40.5771876,-74.0829699,399900,Pending,Staten Island,1.5
other,Co-op for sale,2,1,2184.207862,New York,40.7493102,-73.7118303,449000,Pending,Queens,2.0
other,Condo for sale,2,2,1095.0,New York,40.5784256,-73.9853674,599000,Pending,Brooklyn,1.0
other,Condo for sale,2,2,1258.0,United States,40.7945927,-73.8457338,749000,Pending,Queens,1.0
Brokered by Corcoran Brooklyn Heights,House for sale,5,2,2184.207862,United States,40.6702491,-73.7454183,725000,Pending,Queens,2.5
other,Multi-family home for sale,6,4,2184.207862,United States,40.6800398,-73.8914993,1250000,Pending,Brooklyn,1.5
other,House for sale,4,2,2184.207862,United States,40.6793288,-73.8192101,849000,Pending,Queens,2.0
other,Condo for sale,3,1,1100.0,New York,40.8389829,-73.8601515,357000,Pending,Bronx,3.0
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,1,1,2184.207862,New York,40.8968048,-73.9087471,269000,Pending,Bronx,1.0
Brokered by COMPASS,Co-op for sale,3,2,1520.0,United States,40.5878221,-74.097086,550000,Pending,Staten Island,1.5
Brokered by Brown Harris Stevens,Co-op for sale,2,2,1300.0,New York,40.731874,-73.9921379,2425000,Pending,Manhattan,1.0
other,Townhouse for sale,3,6,6336.0,United States,40.7437415,-73.978774,8950000,Pending,Manhattan,0.5
Brokered by COMPASS,Co-op for sale,1,1,715.0,New York,40.8043692,-73.964408,600000,Pending,Manhattan,1.0
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,5,2,4900.0,United States,40.8178071,-73.9440991,2995000,Pending,Manhattan,2.5
Brokered by Corcoran Park Slope,Co-op for sale,2,1,800.0,New York,40.6662599,-73.9870141,849000,Pending,Brooklyn,2.0
Brokered by COMPASS,Co-op for sale,3,2,1100.0,New York,40.8409736,-73.8456248,280000,Pending,Bronx,1.5
other,House for sale,4,2,2184.207862,United States,40.6862137,-73.8740777,699999,Pending,Brooklyn,2.0
other,Co-op for sale,3,2,1592.0,United States,40.5342218,-74.2016301,748000,Contingent,Staten Island,1.5
Brokered by Corcoran East Side,Condo for sale,4,4,2863.0,New York,40.7794854,-73.9561419,8525000,Pending,Manhattan,1.0
other,Townhouse for sale,6,2,7110.0,United States,40.7785441,-73.9840907,23900000,Pending,Manhattan,3.0
Brokered by E Realty International Corp,Condo for sale,2,1,655.0,New York,40.7427705,-73.8727516,598125,Pending,Queens,2.0
other,House for sale,8,4,6425.0,United States,40.6960918,-73.9349507,2500000,Pending,Brooklyn,2.0
Brokered by Winzone Realty Inc,Multi-family home for sale,4,3,2184.207862,United States,40.7431111,-73.8574241,899000,Pending,Queens,1.3333333333333333
other,Condo for sale,3,1,2184.207862,New York,40.7781488,-73.782075,368000,Pending,Queens,3.0
Brokered by EXP Realty,Townhouse for sale,2,2,1364.0,United States,40.5634891,-74.1422664,475000,Pending,Staten Island,1.0
other,Co-op for sale,3,1,250.0,New York,40.750236,-73.9707571,259000,Pending,Manhattan,3.0
Brokered by Corcoran Brooklyn Heights,Condo for sale,1,2,752.0,New York,40.7644486,-73.9662417,1345000,Pending,Manhattan,0.5
other,Co-op for sale,2,1,900.0,New York,40.6339124,-74.0058434,418888,Pending,Brooklyn,2.0
Brokered by Brown Harris Stevens,Co-op for sale,1,1,2184.207862,New York,40.7326742,-74.0023327,800000,Pending,Manhattan,1.0
other,Co-op for sale,2,2,1300.0,New York,40.7808597,-73.7834998,299999,Pending,Queens,1.0
NoBroker,Multi-family home for sale,8,2,2184.207862,United States,40.6147578,-73.9757141,2000000,Pending,Brooklyn,4.0
Brokered by Keller Williams NYC,Co-op for sale,1,1,2184.207862,New York,40.8819467,-73.9200169,262500,Pending,Bronx,1.0
other,House for sale,3,3,1696.0,United States,40.788704,-73.84908,1288000,Pending,Queens,1.0
other,Multi-family home for sale,7,5,2184.207862,United States,40.6992565,-73.9227784,2225000,Pending,Brooklyn,1.4
other,Co-op for sale,3,1,507.0,New York,40.8992144,-73.8624103,140000,Pending,Bronx,3.0
Brokered by COMPASS,Condo for sale,1,2,910.0,New York,40.7852077,-73.9706676,1995000,Pending,Manhattan,0.5
other,Co-op for sale,2,1,600.0,New York,40.8683656,-73.8832093,120000,Pending,Bronx,2.0
Brokered by E Realty International Corp,Multi-family home for sale,8,7,2184.207862,United States,40.7286837,-73.8065818,1960000,Pending,Queens,1.1428571428571428
other,Co-op for sale,6,2,4500.0,United States,40.6266809,-73.9862742,2499000,Pending,Brooklyn,3.0
other,Multi-family home for sale,5,3,2184.207862,United States,40.7922364,-73.8405165,1090000,Pending,Queens,1.6666666666666667
other,House for sale,3,1,4000.0,United States,40.6969277,-73.7655056,699000,Pending,Queens,3.0
other,Multi-family home for sale,6,3,2184.207862,United States,40.6489264,-73.9197127,950000,Pending,Brooklyn,2.0
other,Co-op for sale,1,1,800.0,United States,40.6358249,-73.973308,349000,Pending,Brooklyn,1.0
other,House for sale,1,1,3536.0,United States,40.8186279,-73.9460737,1680000,Pending,Manhattan,1.0
other,Co-op for sale,1,1,850.0,New York,40.7313319,-73.8284665,299000,Pending,Queens,1.0
Brokered by COMPASS,Co-op for sale,3,3,2184.207862,New York,40.7821377,-73.9824061,2500000,Pending,Manhattan,1.0
other,House for sale,7,2,2184.207862,United States,40.5943151,-73.9602134,1389000,Pending,Brooklyn,3.5
other,Multi-family home for sale,4,3,2184.207862,United States,40.6850983,-73.8717463,890000,Pending,Brooklyn,1.3333333333333333
other,Multi-family home for sale,3,2,2520.0,United States,40.620978,-73.957202,1388000,Pending,Brooklyn,1.5
other,House for sale,4,1,960.0,United States,40.6163157,-74.1248333,728900,Pending,Staten Island,4.0
Brokered by EXP Realty,Co-op for sale,1,1,2184.207862,New York,40.7522642,-73.8878675,338000,Pending,Queens,1.0
Brokered by Corcoran East Side,Co-op for sale,2,2,955.0,New York,40.8061576,-73.9550949,1075000,Pending,Manhattan,1.0
Brokered by Brown Harris Stevens,Condo for sale,1,1,638.0,New York,40.7422824,-73.9781111,779000,Pending,Manhattan,1.0
Brokered by Corcoran Brooklyn Heights,Co-op for sale,3,1,2184.207862,New York,40.6939582,-73.9943695,225000,Pending,Brooklyn,3.0
Brokered by COMPASS,Co-op for sale,1,1,800.0,New York,40.7938201,-73.9713411,735000,Pending,Manhattan,1.0
other,Multi-family home for sale,6,2,2184.207862,United States,40.6702558,-73.9375206,1350000,Pending,Brooklyn,3.0
other,Condo for sale,1,1,721.0,New York,40.7148425,-73.9934391,698000,Pending,Manhattan,1.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,2,2,2184.207862,United States,40.7037872,-73.8752532,699000,Pending,Queens,1.0
other,House for sale,3,2,1232.0,United States,40.5527401,-74.1995549,499900,Pending,Staten Island,1.5
other,Co-op for sale,1,1,831.0,New York,40.8552565,-73.8693804,183000,Pending,Bronx,1.0
other,House for sale,4,2,1604.0,United States,40.6740009,-73.8743074,575000,Pending,Brooklyn,2.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,6,3,2184.207862,United States,40.6943555,-73.8543804,1200000,Pending,Queens,2.0
other,Multi-family home for sale,8,5,3252.0,United States,40.8850441,-73.8562999,989000,Pending,Bronx,1.6
other,Multi-family home for sale,4,3,2184.207862,United States,40.774158,-73.7957477,1388000,Pending,Queens,1.3333333333333333
other,Multi-family home for sale,6,3,2202.0,United States,40.8909806,-73.8528183,800000,Pending,Bronx,2.0
Brokered by COMPASS,Condo for sale,3,4,2472.0,New York,40.8150812,-73.9533178,1395000,Pending,Manhattan,0.75
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,2,1,2184.207862,New York,40.7989043,-73.9604812,325000,Pending,Manhattan,2.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,3,1,540.0,New York,40.6903851,-73.9825343,965000,Pending,Brooklyn,3.0
other,Multi-family home for sale,6,3,2184.207862,United States,40.6648825,-73.8826911,681000,Pending,Brooklyn,2.0
Brokered by EXP Realty,Co-op for sale,2,1,2184.207862,New York,40.7291499,-73.84944,480000,Pending,Queens,2.0
Brokered by Corcoran Brooklyn Heights,Townhouse for sale,4,2,3800.0,United States,40.7140917,-73.9647828,4950000,Pending,Brooklyn,2.0
other,Multi-family home for sale,7,5,2184.207862,United States,40.6642913,-73.8554975,995000,Pending,Queens,1.4
other,Townhouse for sale,2,1,1056.0,United States,40.7351177,-73.8536109,889000,Pending,Queens,2.0
other,House for sale,5,2,2690.0,United States,40.5801404,-73.9494604,2700000,Pending,Brooklyn,2.5
other,Multi-family home for sale,12,2,5670.0,11214,40.602654,-73.9869399,2250000,Pending,Brooklyn,6.0
Brokered by COMPASS,Co-op for sale,3,2,4200.0,New York,40.7190306,-74.0054491,5995000,Pending,Manhattan,1.5
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,3,2,2184.207862,United States,40.5931071,-73.9753582,750000,Pending,Brooklyn,1.5
Brokered by Corcoran Park Slope,House for sale,3,2,2184.207862,United States,40.6074439,-73.9477154,1300000,Pending,Brooklyn,1.5
other,Co-op for sale,6,6,3219.0,United States,40.549134,-74.142459,1099000,Contingent,Staten Island,1.0
other,Co-op for sale,2,1,1100.0,New York,40.5813269,-73.9541649,519000,Pending,Brooklyn,2.0
other,House for sale,2,1,2184.207862,United States,40.5853532,-73.8227113,399999,Pending,Queens,2.0
