brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
other,House for sale,3,2,1224.0,United States,40.63818,-73.9071525,594900,Pending,Brooklyn,1.5
Brokered by Keller Williams NYC,Multi-family home for sale,5,3,1500.0,United States,40.7849809,-73.8178033,1288000,Pending,Queens,1.6666666666666667
other,Multi-family home for sale,5,2,2288.0,United States,40.5501403,-74.1810379,995000,Pending,Staten Island,2.5
Brokered by COMPASS,Co-op for sale,1,1,800.0,New York,40.6573594,-73.9554071,499000,Pending,Brooklyn,1.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,1,1,1115.0,New York,40.7193296,-73.8380044,450000,Pending,Queens,1.0
other,Condo for sale,2,2,1043.0,New York,40.849705,-73.94014,1389000,Pending,Manhattan,1.0
Brokered by RE MAX Real Estate Professionals,Condo for sale,2,2,821.0,New York,40.6145816,-73.9463149,539000,Pending,Brooklyn,1.0
Brokered by COMPASS,Condo for sale,1,2,1321.0,New York,40.7159753,-74.0083683,2000000,Pending,Manhattan,0.5
other,Condo for sale,2,1,640.0,New York,40.6478661,-74.0006098,680000,Pending,Brooklyn,2.0
Brokered by Keller Williams Rlty Landmark,Co-op for sale,1,1,750.0,New York,40.788818,-73.7867657,498888,Pending,Queens,1.0
Brokered by Serhant,Co-op for sale,5,4,5500.0,New York,40.7442721,-73.9907621,8995000,Pending,Manhattan,1.25
other,Co-op for sale,2,1,2184.207862,New York,40.6999899,-73.8539,219000,Pending,Queens,2.0
Brokered by Corcoran Park Avenue South,Condo for sale,2,1,1080.0,New York,40.6163434,-74.0377889,1199000,Pending,Brooklyn,2.0
other,House for sale,8,4,2184.207862,United States,40.8984527,-73.9105843,3250000,Pending,Bronx,2.0
Brokered by COMPASS,Condo for sale,2,2,1434.0,New York,40.810446,-73.943187,1250000,Pending,Manhattan,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.7298599,-73.81851,290000,Pending,Queens,1.0
Brokered by Keller Williams NYC,Co-op for sale,3,1,1020.0,New York,40.7517899,-73.88467,549999,Pending,Queens,3.0
other,Co-op for sale,3,2,1170.0,United States,40.6222601,-74.1349837,769000,Pending,Staten Island,1.5
other,Co-op for sale,2,1,2184.207862,New York,40.8255972,-73.9529963,310000,Pending,Manhattan,2.0
Brokered by Exp Realty,Multi-family home for sale,6,4,3059.0,United States,40.6877385,-73.9618932,3250000,Pending,Brooklyn,1.5
other,Co-op for sale,3,3,1750.0,New York,40.7971343,-73.9722076,1395000,Pending,Manhattan,1.0
other,Multi-family home for sale,6,3,1872.0,United States,40.7086372,-73.9026067,998000,Pending,Queens,2.0
other,Co-op for sale,2,2,1150.0,United States,40.8131429,-73.808397,400000,Pending,Bronx,1.0
other,Multi-family home for sale,5,2,1600.0,United States,40.8166622,-73.8139448,775000,Pending,Bronx,2.5
Brokered by Corcoran Brooklyn Heights,House for sale,3,2,2184.207862,United States,40.626225,-74.0745645,6700000,Pending,Staten Island,1.5
other,Co-op for sale,3,1,2184.207862,New York,40.7525699,-73.87724,189000,Pending,Queens,3.0
Brokered by Keller Williams NYC,Multi-family home for sale,6,4,2565.0,United States,40.6778716,-73.9615757,1900000,Pending,Brooklyn,1.5
other,Co-op for sale,3,2,2184.207862,New York,40.7093215,-74.003525,1095000,Pending,Manhattan,1.5
Brokered by Keller Williams NYC,Condo for sale,1,1,738.0,New York,40.5781826,-74.1626869,350000,Pending,Staten Island,1.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.8510315,-73.9416561,350000,Pending,Manhattan,1.0
